ID,brand,model,ddr,price,wattage,frequency,status,capacity
1,Kingston,Fury Beast KF432C16BB/32 32 1x32 3200Mhz Ddr4 Memory Black,ddr4,4450,10,3200,TRUE,32
2,Team Elite,TForce Delta 8 1x8 2666mhz Ddr4 RGB Memory White,ddr4,4230,10,2666,TRUE,8
3,Kingston,Fury Beast 8 1x8 2666mhz Ddr4 Memory Black,ddr4,3845,10,2666,TRUE,8
4,G.Skill,Trident Z 16 1x8 Memory 3600mhz Ddr4 RGB,ddr4,3717,10,3600,TRUE,16
5,Kingston,Fury Beast 16 KF432C16BB2A/16 1x16 3200MT/s Ddr4 Memory RGB Black,ddr4,2998,10,3200,TRUE,16
6,Kingston,Fury Beast 16 KF432C16BB12A/16 1x16 3200MT/s Ddr4 Memory RGB Black,ddr4,2974,10,3200,TRUE,16
7,Kingston,Fury Beast 16 1x16 3200MT/s DDR4 Memory RGB White Special Edition,ddr4,2950,10,3200,TRUE,16
8,Corsair,Vengeance Pro Memory 1x8 Ddr4 3200mhz Black RGB,ddr4,2898,10,3600,TRUE,8
9,G.Skill,Trident Z F4-3600C18D-32GTZR 32 1x16 3600mhz Ddr4 RGB Memory,ddr4,2632,10,3600,TRUE,32
10,Team Elite,Vulcan Z 16 1x8 3600mHz Gray DDR4 Memory,ddr4,2625,10,3200,TRUE,16
11,Team Elite,TForce Delta 16 1x16 3200mhz Ddr4 RGB Memory White,ddr4,2620,10,3200,TRUE,16
12,Kingston,Fury Beast 16 1x16 3200MT/s Ddr4 Memory RGB Black,ddr4,2565,10,3200,TRUE,16
13,Avexir,Core 2 16 2x8 3200mhz Ddr4 2c2a RGB Memory Titanium,ddr4,2366,10,3200,TRUE,16
14,TEAMGROUP,T-Create Expert TTCED416G3600HC18JDC01 16 2 x 8GB 3600MHz DDR4 CL18 Memory,ddr4,2360,10,3600,TRUE,16
15,Corsair,Vengeance Pro SL 16 1x8 3200mhz Ddr4 RGB Memory White,ddr4,2357,10,3200,TRUE,16
16,Avexir,Core 2 16 1x8 3200mhz Ddr4 2c2c RGB Memory Light Gray,ddr4,2335,10,3200,TRUE,16
17,Corsair,Vengeance Pro SL 16 1x8 3200mhz Ddr4 RGB Memory Black,ddr4,2333,10,3200,TRUE,16
18,Corsair,Vengeance Pro 16 2x8 Ddr4 3000MHz XMP 2.0 Aluminum Heat Spreader RGB LED Lighting White Gaming Memory,ddr4,2250,10,3000,TRUE,16
19,Kingston,HyperX Fury Memory 1x8 Ddr4-2666 CL16 Black RGB,ddr4,2225,10,2666,TRUE,8
20,Team Elite,TForce Delta 16 1x8 3600mhz Ddr4 RGB Memory Black,ddr4,2225,10,3600,TRUE,16
21,Team Elite,Dark ZA 16 1x8 3600 Ddr4 Gaming Memory,ddr4,2075,10,3600,TRUE,16
22,Crucial,Ballistix 8 Ddr4 3200mhz Desktop Gaming Memory White,ddr4,2050,10,3200,TRUE,8
23,PNY,XLR8 8 8x1 3200Mhz Ddr4 RGB Gaming Memory,ddr4,1999,10,3200,TRUE,8
24,Adata,Spectrix D60G 16 1x8 3200mhz Ddr4 RGB Lights Memory Tungsten Grey White,ddr4,1980,10,3200,TRUE,16
25,G.Skill,Trident Z Neo 16 1x8 3600mhz Ddr4 RGB Memory,ddr4,1977,10,3600,TRUE,16
26,Corsair,Vengeance LPX 8 1x8 3000Mhz Ddr4 C16 Memory Black,ddr4,1950,10,3000,TRUE,8
27,Crucial,Ballistix 16 2x8 Ddr4 3200Mhz RGB Gaming Memory Black,ddr4,1925,10,3200,TRUE,16
28,G.Skill,Trident Z Neo 16 2x8 Memory 3200mhz Ddr4 RGB,ddr4,1910,10,3200,TRUE,16
29,Adata,Spectrix D50 8 1x8 3200mhz Ddr4 RGB Memory White with Heatsink,ddr4,1909,10,3200,TRUE,8
30,Team Elite,TForce Delta 8 1x8 Memory 2400mhz Ddr4 RGB White,ddr4,1895,10,2400,TRUE,8
31,Kingston,Fury Beast 8 1x8 3200MT/s DDR4 Memory RGB White Special Edition,ddr4,1888,10,3200,TRUE,8
32,Kingston,KVR26N19S6/8 8 1x8 1Rx16 2666mhz Ddr4 Memory Black,ddr4,1785,10,2666,TRUE,8
33,Patriot,PSP416G320081H1 1x16 3200Mhz Ddr4 Udimm w/ HeatShield Memory Black,ddr4,1760,10,3200,TRUE,16
34,Adata,XPG Flame Memory 1x8 2666mhz Ddr4 Sodimm,ddr4,1750,10,2666,TRUE,8
35,Crucial,Ballistix 8 Ddr4 3200mhz Desktop Gaming Memory Black,ddr4,1735,10,3200,TRUE,8
36,Adata,Gammix D30 8 1x8 3200mhz Grey and Black Ddr4 Memory with Heatsink,ddr4,1680,10,3200,TRUE,8
37,Datotek,8 1x8 Ddr4 2666 Value Memory,ddr4,1645,10,2666,TRUE,8
38,PNY,XLR8 16 8x2 3200Mhz Ddr4 RGB Gaming Memory,ddr4,1598,10,3200,TRUE,16
