ID,brand,model,rate,price,wattage,status
50,Coolermaster,MWE450 V2 450watts,1850,none,450,TRUE
51,Coolermaster,MWE 750W V2 80+ Bronze,5156,bronze,750,TRUE
52,Seasonic,Focus Plus 750W Fully Modular Platinum,7752,platinum,750,TRUE
53,Seasonic,Focus Plus 850W Fully Modular Platinum,9006,platinum,850,TRUE
54,Corsair,CV650 650 watts 80 Plus Bronze,3335,bronze,650,TRUE
55,Seasonic,Prime 1300W Fully Modular Gold,13250,gold,1300,TRUE
56,SuperFlower,Leadex III 550W 80+ Fully Modular RGB Gold,5895,gold,550,TRUE
57,Corsair,CV550,2800,bronze,550,TRUE
58,Trigon,700w Power Supply,100,none,700,TRUE
59,Gigabyte,P650B 650 watts 80 Plus Bronze certified,3116,bronze,650,TRUE
60,EVGA,600 BR 80 plus Bronze certified,3695,bronze,700,TRUE
61,Thermaltake,Litepower 550 watts,1920,none,550,TRUE
62,SuperFlower,Leadex III 650W Fully Modular 80 Plus Gold RGB,5814,gold,650,TRUE
63,FSP,HYDRO G Pro 750W 80+ Gold Fully Modular,6384,gold,750,TRUE
64,Seasonic,Prime 1300 watts Fully Modular Platinum,14480,platinum,1300,TRUE
65,Corsair,SF450 450Watts 80+ Platinum SFX,6145,platinum,450,TRUE
66,Seasonic,Prime SSR-1000TR 1000 Watts Fully Modular Titanium,15321,titanium,1000,TRUE
67,Seasonic,Prime Ultra SSR-1300PD 1300 Watts Fully Modular Platinum,14739,platinum,1300,TRUE
68,Cooler Master,MWE 550Watts /MWE V2 550Watts 80 PLUS Bronze,2725,bronze,550,TRUE
69,Coolermaster,MWE 650W and 650W V2 80+ Bronze,3239,bronze,650,TRUE
70,MSI,MPG A650GF 650Watts and A750GF 750Watts 80+ Full Modular Gold,5585,gold,750,TRUE
71,MSI,MPG A750GF 750Watts 80+ Full Modular Gold,6783,gold,750,TRUE
72,MSI,MPG A850GF 850Watts 80+ Full Modular Gold,7180,gold,850,TRUE
73,FSP,HV PRO 85+ FSP650-51AAC 650 watts 80+ Bronze,2748,bronze,650,TRUE
74,InPlay,GS450P 450 Watts,620,bronze,450,TRUE
75,Cooler Master,MWE 750Watts 80+ Power Supply White,3295,none,750,TRUE
76,Silverstone,Strider 700W Fully Modular Flat Cables 80 Plus Gold SFX,8200,gold,700,TRUE
77,Silverstone,Essential 500W Fully Modular Flat Cables 80 Plus Gold,4680,gold,500,TRUE
78,Seasonic,Prime Ultra SSR-850GD 850watts Fully Modular Gold,8110,gold,850,TRUE
79,Silverstone,SST-ST70F-ES230 700 Watts 80 Plus,2497,none,700,TRUE
80,XPG,Core Reactor 650 Watts 80+ Gold Fully Modular,5995,gold,650,TRUE
81,XPG,PYLON - 550 Watts 80+ Bronze,4195,bronze,550,TRUE
82,XPG,PYLON - 750 Watts 80+ Bronze,4995,bronze,750,TRUE
83,Raidmax,Thunder 535 watts RX-535AP-R 80+ Bronze,2995,bronze,535,TRUE
84,Raidmax,Hybrid 530 watts RX-530SS 80+ Bronze,2995,bronze,530,TRUE
85,Deepcool,500W 80+ Bronze Non-modular,3550,bronze,500,TRUE
86,Deepcool,V2L - 80+ Gold Full-modular,5995,gold,850,TRUE
87,Silverstone,Strider Gold S 750W 80+ Gold Fully Modular,5310,gold,750,TRUE
88,Corsair,CV750 750 watts 80 Plus Bronze,3750,bronze,750,TRUE
