id,brand,model,rate,price,wattage,status
38,Corsair,Vs550 550 watts,2495.0,none,550,true
42,Corsair,CX550M Semi Modular 80 Plus Bronze,3999.0,bronze,550,true
56,SuperFlower,Leadex III 550W 80+ Fully Modular RGB Gold,5895.0,gold,550,true
57,Corsair,CV550,2800.0,bronze,550,true
61,Thermaltake,Litepower 550 watts,1920.0,none,550,true
68,Cooler Master,MWE 550Watts /MWE V2 550Watts 80 PLUS Bronze,2725.0,bronze,550,true
81,XPG,PYLON - 550 Watts 80+ Bronze,4195.0,bronze,550,true
103,NZXT,C750 550Watts and 750 Watts 80+ Bronze Semi Modular,4015.0,bronze,550,true
83,Raidmax,Thunder 535 watts RX-535AP-R 80+ Bronze,2995.0,bronze,535,true
84,Raidmax,Hybrid 530 watts RX-530SS 80+ Bronze,2995.0,bronze,530,true
35,Seasonic,S12II 520 watts 80 Bronze,2895.0,bronze,520,true
3,Silverstone,SST-ST50F-ES230,1790.0,silver,500,true
6,Raidmax,RX-500XT,1357.0,none,500,true
10,MSI,MAG A500DN,2326.0,none,500,true
43,Thermaltake,Smart SPR0500 80 Power Supply RGB,2309.0,none,500,true
48,Aerocool,Rave Power Supply 500watts,2065.0,none,500,true
77,Silverstone,Essential 500W Fully Modular Flat Cables 80 Plus Gold,4680.0,gold,500,true
85,Deepcool,500W 80+ Bronze Non-modular,3550.0,bronze,500,true
90,Cooler Master,G500/ G600/ G700/ G800 80 Plus Gold Non-Modular,4199.0,gold,500,true
101,Coolermaster,MWE Bronze Series 500W V2 80+ Bronze,2620.0,bronze,500,true
29,Gigabyte,P450B 450 watts 80 Plus Bronze,2107.0,bronze,450,true
37,Corsair,Vs450 450 watts,1850.0,none,450,true
50,Coolermaster,MWE450 V2 450watts,1850.0,none,450,true
65,Corsair,SF450 450Watts 80+ Platinum SFX,6145.0,platinum,450,true
74,InPlay,GS450P 450 Watts,620.0,bronze,450,true
40,RAKK,400watts ATX PSU,495.0,none,400,true
47,Coolermaster,Elite 400 watts V3,1680.0,none,400,true
21,Seasonic,Focus SGX 650w Modular Gold,6840.0,gold,350,true
